periodo,Enero_atlantico,Febrero_atlantico,Marzo_atlantico,Abril_atlantico,Mayo_atlantico,Junio_atlantico,Enero_pacifico,Febrero_pacifico,Marzo_pacifico,Abril_pacifico,Mayo_pacifico,Junio_pacifico,Enero_lluvia,Febrero_lluvia,Marzo_lluvia,Abril_lluvia,Mayo_lluvia,Junio_lluvia
1998,0.39,-0.11,0.87,-0.68,-1.32,-2.72,2.2,1.9,1.4,1,0.5,-0.1,0,0,0,4.8,23.8,84.8
1999,0.77,0.29,0.23,-0.95,0.92,1.12,-1.5,-1.3,-1.1,-1,-1,-1,0.4,49.6,47.8,294,494.2,662.4
2000,0.6,1.7,0.77,-0.03,1.58,-0.03,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,12,12,7.4,21.4,319.4,405.4
2001,0.25,0.45,-1.26,0,-0.02,-0.2,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,1.4,68,25.2,91.8,501.8,633.8
2002,0.44,1.1,0.69,1.18,-0.22,0.38,-0.1,0,0.1,0.2,0.4,0.7,27,6.8,44.4,46.8,389,425.5
2003,0.16,0.62,0.32,-0.18,0.01,-0.07,0.9,0.6,0.4,0,-0.3,-0.2,0,39.7,85.6,283.3,1260.8,1122
2004,-0.29,-0.14,1.02,1.15,0.19,-0.89,0.4,0.3,0.2,0.2,0.2,0.3,12,24.6,108.4,70.9,757.6,505.8
2005,1.52,-0.06,-1.83,-0.3,-1.25,-0.05,0.6,0.6,0.4,0.4,0.3,0.1,34,1.8,60,162.2,581,1290.8
2006,1.27,-0.51,-1.28,1.24,-1.14,0.84,-0.9,-0.8,-0.6,-0.4,-0.1,0,23.7,0,0,196,433,289.3
2007,0.22,-0.47,1.44,0.17,0.66,-1.31,0.7,0.2,-0.1,-0.3,-0.4,-0.5,0,18,44.2,265.2,484.8,587.4
2008,0.89,0.73,0.08,-1.07,-1.73,-1.39,-1.6,-1.5,-1.3,-1,-0.8,-0.6,0,73.4,66.4,176,208.6,654.6
2009,-0.01,0.06,0.57,-0.2,1.68,-1.21,-0.8,-0.8,-0.6,-0.3,0,0.3,46.3,5.8,36.6,54.2,671.6,689.2
2010,-1.11,-1.98,-0.88,-0.72,-1.49,-0.82,1.5,1.2,0.8,0.4,-0.2,-0.7,26.2,2.6,7,301,859.6,782.4
2011,-0.88,0.7,0.61,2.48,-0.06,-1.28,-1.4,-1.2,-0.9,-0.7,-0.6,-0.4,69,79.8,82.6,251,530.8,449
2012,1.17,0.42,1.27,0.47,-0.91,-2.53,-0.9,-0.7,-0.6,-0.5,-0.3,0,27.6,21.6,137.4,308.2,500.8,282.8
2013,0.35,-0.45,-1.61,0.69,0.57,0.52,-0.4,-0.4,-0.3,-0.3,-0.4,-0.4,7,106.2,21.2,112,470,565
2014,0.29,1.34,0.8,0.31,-0.92,-0.97,-0.4,-0.5,-0.3,0,0.2,0.2,3.6,112.8,112.4,279.6,642.2,445
2015,1.79,1.32,1.45,0.73,0.15,-0.07,0.5,0.5,0.5,0.7,0.9,1.2,61.2,0.4,134.2,198.8,268.4,302.8
2016,0.12,1.58,0.73,0.38,-0.77,-0.43,2.5,2.1,1.6,0.9,0.4,-0.1,33.4,43.6,36,196.2,304.4,507
2017,0.48,1,0.74,1.73,-1.91,0.05,-0.3,-0.2,0.1,0.2,0.3,0.3,10.8,10.8,20,137,473.6,420.4
2018,1.44,1.58,-0.93,1.24,2.12,1.09,-0.9,-0.9,-0.7,-0.5,-0.2,0,38.2,30.6,73.6,219.6,548,284.4
2019,0.59,0.29,1.23,0.47,-2.62,-1.09,0.7,0.7,0.7,0.7,0.5,0.5,18,13.6,90,55.6,597.6,332.6
2020,1.34,1.26,1.01,-1.02,-0.41,-0.15,0.5,0.5,0.4,0.2,-0.1,-0.3,21.6,50.6,18.8,141,508.6,594
2021,-1.11,0.14,0.73,-1.43,-1.24,0.77,-1,-0.9,-0.8,-0.7,-0.5,-0.4,80,44,108.2,249.4,633.4,447.8
2022,1.08,1.68,0.77,-0.36,0.71,-0.12,-1,-0.9,-1,-1.1,-1,-0.9,42.4,1,58.2,357.4,456.8,545.6
2023,1.25,0.92,-1.11,-0.63,0.39,-0.58,-0.7,-0.4,-0.1,0.2,0.5,0.8,43.2,0.4,216,113.2,247.2,474.2
2024,0.21,1.09,-0.21,-0.78,-0.44,1.7,1.8,1.5,1.1,0.7,0.44,0.05,2.6,11.6,0,141.6,239.4,650
