dia,mes,Ra
1,1,28.99
2,1,29.03
3,1,29.072
4,1,29.117
5,1,29.165
6,1,29.216
7,1,29.269
8,1,29.325
9,1,29.384
10,1,29.446
11,1,29.51
12,1,29.577
13,1,29.646
14,1,29.718
15,1,29.793
16,1,29.869
17,1,29.948
18,1,30.03
19,1,30.113
20,1,30.199
21,1,30.287
22,1,30.376
23,1,30.468
24,1,30.562
25,1,30.657
26,1,30.755
27,1,30.854
28,1,30.955
29,1,31.057
30,1,31.161
31,1,31.266
1,2,31.372
2,2,31.48
3,2,31.589
4,2,31.699
5,2,31.81
6,2,31.922
7,2,32.035
8,2,32.149
9,2,32.264
10,2,32.379
11,2,32.495
12,2,32.611
13,2,32.728
14,2,32.845
15,2,32.962
16,2,33.08
17,2,33.197
18,2,33.315
19,2,33.432
20,2,33.55
21,2,33.667
22,2,33.784
23,2,33.9
24,2,34.016
25,2,34.132
26,2,34.247
27,2,34.361
28,2,34.475
29,2,34.531
30,2,
31,2,
1,3,34.588
2,3,34.7
3,3,34.811
4,3,34.921
5,3,35.03
6,3,35.138
7,3,35.244
8,3,35.35
9,3,35.454
10,3,35.557
11,3,35.658
12,3,35.758
13,3,35.857
14,3,35.953
15,3,36.049
16,3,36.142
17,3,36.234
18,3,36.325
19,3,36.413
20,3,36.5
21,3,36.585
22,3,36.668
23,3,36.749
24,3,36.828
25,3,36.905
26,3,36.98
27,3,37.054
28,3,37.125
29,3,37.194
30,3,37.262
31,3,37.327
1,4,37.39
2,4,37.452
3,4,37.511
4,4,37.568
5,4,37.623
6,4,37.676
7,4,37.727
8,4,37.776
9,4,37.823
10,4,37.868
11,4,37.911
12,4,37.953
13,4,37.992
14,4,38.029
15,4,38.064
16,4,38.098
17,4,38.129
18,4,38.159
19,4,38.187
20,4,38.214
21,4,38.238
22,4,38.261
23,4,38.282
24,4,38.302
25,4,38.32
26,4,38.336
27,4,38.351
28,4,38.364
29,4,38.377
30,4,38.387
31,4,
1,5,38.396
2,5,38.405
3,5,38.411
4,5,38.417
5,5,38.421
6,5,38.425
7,5,38.427
8,5,38.428
9,5,38.428
10,5,38.428
11,5,38.426
12,5,38.424
13,5,38.421
14,5,38.417
15,5,38.412
16,5,38.407
17,5,38.401
18,5,38.395
19,5,38.388
20,5,38.381
21,5,38.373
22,5,38.365
23,5,38.357
24,5,38.348
25,5,38.339
26,5,38.33
27,5,38.321
28,5,38.311
29,5,38.302
30,5,38.292
31,5,38.283
1,6,38.273
2,6,38.264
3,6,38.254
4,6,38.245
5,6,38.236
6,6,38.227
7,6,38.218
8,6,38.209
9,6,38.201
10,6,38.193
11,6,38.185
12,6,38.178
13,6,38.171
14,6,38.164
15,6,38.157
16,6,38.151
17,6,38.145
18,6,38.14
19,6,38.135
20,6,38.13
21,6,38.126
22,6,38.122
23,6,38.119
24,6,38.116
25,6,38.113
26,6,38.111
27,6,38.109
28,6,38.108
29,6,38.106
30,6,38.106
31,6,
1,7,38.105
2,7,38.105
3,7,38.105
4,7,38.106
5,7,38.106
6,7,38.107
7,7,38.109
8,7,38.11
9,7,38.112
10,7,38.113
11,7,38.115
12,7,38.117
13,7,38.119
14,7,38.122
15,7,38.124
16,7,38.126
17,7,38.128
18,7,38.13
19,7,38.131
20,7,38.133
21,7,38.134
22,7,38.136
23,7,38.136
24,7,38.137
25,7,38.137
26,7,38.137
27,7,38.136
28,7,38.135
29,7,38.133
30,7,38.131
31,7,38.128
1,8,38.122
2,8,38.118
3,8,38.112
4,8,38.106
5,8,38.099
6,8,38.091
7,8,38.081
8,8,38.071
9,8,38.06
10,8,38.048
11,8,38.035
12,8,38.02
13,8,38.004
14,8,37.987
15,8,37.969
16,8,37.95
17,8,37.929
18,8,37.906
19,8,37.882
20,8,37.857
21,8,37.83
22,8,37.802
23,8,37.772
24,8,37.74
25,8,37.707
26,8,37.672
27,8,37.635
28,8,37.597
29,8,37.557
30,8,37.515
31,8,37.471
1,9,37.426
2,9,37.379
3,9,37.329
4,9,37.279
5,9,37.226
6,9,37.171
7,9,37.115
8,9,37.056
9,9,36.996
10,9,36.934
11,9,36.87
12,9,36.804
13,9,36.736
14,9,36.667
15,9,36.596
16,9,36.522
17,9,36.447
18,9,36.371
19,9,36.292
20,9,36.212
21,9,36.13
22,9,36.046
23,9,35.961
24,9,35.874
25,9,35.785
26,9,35.695
27,9,35.603
28,9,35.51
29,9,35.416
30,9,35.32
31,9,
1,10,35.222
2,10,35.124
3,10,35.024
4,10,34.922
5,10,34.82
6,10,34.717
7,10,34.612
8,10,34.507
9,10,34.4
10,10,34.293
11,10,34.185
12,10,34.076
13,10,33.967
14,10,33.857
15,10,33.746
16,10,33.635
17,10,33.523
18,10,33.412
19,10,33.299
20,10,33.187
21,10,33.075
22,10,32.962
23,10,32.85
24,10,32.737
25,10,32.625
26,10,32.513
27,10,32.401
28,10,32.29
29,10,32.179
30,10,32.069
31,10,31.96
1,11,31.851
2,11,31.743
3,11,31.636
4,11,31.529
5,11,31.424
6,11,31.32
7,11,31.217
8,11,31.115
9,11,31.015
10,11,30.915
11,11,30.831
12,11,30.734
13,11,30.639
14,11,30.546
15,11,30.454
16,11,30.364
17,11,30.276
18,11,30.19
19,11,30.106
20,11,30.024
21,11,29.944
22,11,29.866
23,11,29.791
24,11,29.717
25,11,29.647
26,11,29.578
27,11,29.512
28,11,29.448
29,11,29.387
30,11,29.329
31,11,
1,12,29.273
2,12,29.219
3,12,29.169
4,12,29.121
5,12,29.076
6,12,29.034
7,12,28.995
8,12,28.958
9,12,28.925
10,12,28.894
11,12,28.867
12,12,28.842
13,12,28.82
14,12,28.802
15,12,28.786
16,12,28.774
17,12,28.764
18,12,28.758
19,12,28.754
20,12,28.754
21,12,28.757
22,12,28.763
23,12,28.772
24,12,28.784
25,12,28.799
26,12,28.818
27,12,28.839
28,12,28.863
29,12,28.891
30,12,28.921
31,12,28.954
