nombre_estacion,estacion,estrato,"Altitud
(msnm)",Ubicacion
Cengicana,CENCEN,Alto,297,Santa Lucia Cotz. Escuintla
Tehuantepec,LUTTEH,Bajo,67,Santa Lucia Cotz. Escuintla
El balsamo,PANBAL,Medio,280,Santa Lucia Cotz. Escuintla
Puyumate,TBUPUY,Bajo,77,"Nueva Concepcion, Escuintla"
San Antonio el Valle,MAGSAV,Litoral,10,"La Gomera, Escuintla"
Amazonas,SAAAMA,Litoral,21,"Masagua, Escuintla"
Trinidad San Diego,SDTTRI,Bajo,71,"Masagua, Escuintla"
Irlanda,TBUIRL,Litoral,22,"Tiquisate, Escuintla"
Bonanza,LUTBON,Litoral,29,"La Gomera, Escuintla"
Bouganvilia,MAGBOU,Bajo,54,"La Democracia, Escuintla"
Naranjales,PAGNRJ,Bajo,96,"Santo Domingo, Suchitepequez"
Peten Oficina,MATPEO,Bajo,46,"Tiquisate, Escuintla"
Costa Brava,SDTCBR,Medio,151,Santa Lucia Cotz. Escuintla
Tulula,TULTLA,Medio,254,"Cuyotenango, Suchitepequez"
Lorena,PAGLOR,Alto,333,"San Antonio Suchitepequez, Suchitepequez"
San Rafael,PANSRF,Litoral,9,"Guanagazapa, Escuintla"
Xoluta,MAGXOL,Bajo,52,"Retalhuleu, Retalhuleu"
San Nicolas,MAGSNC,Litoral,20,"San Lorenzo, Suchitepequez"
Trinidad Magdalena,MAGTMG,Litoral,19,"Pasaco, Jutiapa"
El Platanar,ICCPLT,Alto,1572,"Acatenango, Chimaltenango"
La Giralda,SAALGR,Litoral,20,"Puerto San Jose, Escuintla"
La Candelaria,ICCCDL,Litoral,5,"Taxisco, Santa Rosa"
Chiquirines,ICCCHI,Litoral,30,"La Blanca, San Marcos"
Providencia ,MAGPVD,Bajo,40,"Retalhuleu, Retalhuleu"
Alamo,ICCALA,Litoral,30,"Coatepeque, Quetzaltenango"
Cocales,PAGCOC,Medio,215,"Patulul, Suchitepequez"
Concepcion,ICCCON,Alto,482,"Escuintla, Escuintla"
La Maquina,SAALMQ,Litoral,17,"Chiquimulilla, Santa Rosa"
Santa Teresa ,ICCSTA,Alto ,1196,"Villa Canales, Guatemala"
FCA Yepocapa,ICCYEPO,Alto,1275,"San Pedro Yepocapa, Chimaltenango"
Central Izalco ,CASSACIZ,Medio ,247,"Izalco, Sonsonate"
Copal ,CASSACPL,Bajo ,82,"Jiquilisco, Usulutan"
Chaparrastique,CASSACPT,Bajo,91,"San Miguel, San Miguel"
El Carmen,CASSAECA,Litoral,6,"San Francisco Menendez, Ahuachapan"
San Clemente,CASSASCL,Alto,460,"Armenia, Sonsonate"
Agua Santa,CASSAAGS,Litoral,9,"Zacatecoluca, La Paz "
Pueblo Real ,ICCPBR,Alto,2285,"Tecpan, Chimaltenango "
Monte Alegre,ICCMTA,Litoral,37,"La Gomera, Escuintla"
Sotzil,ICCSOTZ,Alto ,1781,"Chimaltenango, Chimaltenango"
La Joya ,ICCJOY,Litoral,7,"Sipacate, Escuintla"
